paper,title,author,affiliation
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,寺山　麻純,名古屋大学
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,清水　政行,名古屋大学
s28-5,タッチパネルディスプレイを用いた運転リスク評価と画像解析から推定された運転リスクの関係,青木　宏文,名古屋大学
s28-6,異常運転の検知手法開発,伊藤　隆文,デンソー
s28-6,異常運転の検知手法開発,山岡　将綺,デンソー
s28-6,異常運転の検知手法開発,山高　大乗,デンソー
s28-6,異常運転の検知手法開発,中村　典雅,デンソー
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,恩田　和征,スズキ
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,山﨑　拓真,スズキ
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,堀田　英則,スズキ
s29-1,自動車の視界性能開発におけるバーチャルリアリティ(VR)の活用に関する研究<br>-VR評価と実車評価の比較検証-,髙津　幸広,スズキ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,岡本　宜久,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,梶川　浩子,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,佐藤　大地,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,手嶋　啓太,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,石井　秀和,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,竹村　和紘,マツダ
s29-5,前庭感覚サプライズモデルによる車両挙動評価,渡邊　雅之,マツダ
s29-6,対話型ユーザインタフェースの認知負荷の簡便な計測法の開発(第2報),岸　浩司,名古屋大学
s29-6,対話型ユーザインタフェースの認知負荷の簡便な計測法の開発(第2報),青木　宏文,名古屋大学
s29-7,A Study on the change of bio-signals under driver stress,Baekhee Lee,Hyundai Motor
s29-7,A Study on the change of bio-signals under driver stress,Yoseob Lee,Hyundai Motor
s30-4,農業のスマート安全に資するトラクタドライビングシミュレータ,風間　恵介,日本大学
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,原口　茂則,本田技研工業
s3-1,筒内直接噴射式火花点火機関の非定常筒内流動場における噴霧形成過程の解明,佐藤　義久,本田技研工業
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,三田　友紀子,トヨタ自動車
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,池田　幸洋,トヨタ自動車
s31-1,先進安全技術の進化と事故低減効果解析 （第3報）,長谷川　俊,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,Nihan Karatas,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,横井　康伸,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,吉原　祐器,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,金森　等,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,原田　あすか,名古屋大学
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,山田　健一,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,水間　隼人,トヨタ自動車
s31-4,出会い頭事故防止のための運転介入による減速支援の方法検討,田中　貴紘,名古屋大学
s31-5,スマートフォンを活用した横断児童接近通知システムの効果評価,安井　智子,トヨタ自動車
s31-5,スマートフォンを活用した横断児童接近通知システムの効果評価,横井　康伸,トヨタ自動車
s3-2,内燃機関の設計計算に適用可能な粒径分布予測モデルの開発（第3報）<br>-5成分ガソリンサロゲートに対する検証-,秋濱　一弘,日本大学
s32-1,V2N技術を用いた危険回避ブレーキ制御システムの成立性検証,入江　喜朗,トヨタ自動車
s33-1,水素専焼エンジン油圧パワーショベルの実証試験に基づく排気特性と燃費性能の評価,伊東　明美,東京都市大学
s33-2,アルゴン循環型2サイクル水素エンジンの研究,阿部　貴大,東海大学
s33-2,アルゴン循環型2サイクル水素エンジンの研究,王　喆,東海大学
s33-2,アルゴン循環型2サイクル水素エンジンの研究,陳　之立,東海大学
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,近藤　憂樂,東海大学
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,清川　凌太,東海大学
s33-3,アルゴン循環型水素エンジンにおける循環系加圧の研究,陳　之立,東海大学
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,Pravin Ananta Kadu,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,吉村　佳,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,村松　恵治,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,中間　健二郎,スズキ
s33-6,水素エンジンの異常燃焼のメカニズム解明（第二報　可視化による異常燃焼箇所の調査）,徳原　聡,スズキ
s34-4,水素エンジンの異常燃焼に関する研究<br>-ノッキング予測モデルの構築-,増田　糧,豊田中央研究所
s35-2,自動運転モビリティにおけるモデル予測制御による複数サービス指標の改善,長谷島　範安,日立製作所
s35-2,自動運転モビリティにおけるモデル予測制御による複数サービス指標の改善,齋藤　哲平,日立製作所
s35-4,車載カメラ映像とマルチモーダル大規模言語モデルによる先進運転支援システムの改善支援技術,羅　智圓,日立製作所
s35-4,車載カメラ映像とマルチモーダル大規模言語モデルによる先進運転支援システムの改善支援技術,露木　雅文,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,城戸　英彰,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,田仲　結衣,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,土屋　舜太郎,日立製作所
s36-1,ステレオマッチングによるマルチカメラ向けBEVモデルの高精度化,二宮　洸,日立製作所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,永井　隆之,トヨタ自動車
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,岩田　隆道,豊田中央研究所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,原　昌司,豊田中央研究所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,高尾　尚史,豊田中央研究所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,山田　大介,豊田中央研究所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,小林　哲郎,豊田中央研究所
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,石田　栄治,トヨタ自動車
s38-4,自動車のサーキュラーエコノミー指標の提案 第2報<br>-資源価値と資源循環の質を考慮したサーキュラーエコノミー指標の試算-,増田　仁郎,トヨタ自動車
s39-2,PEFCの単セル評価における高温運転条件の影響,酒井　智一,トヨタ自動車
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Axel Seiffert,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Hein Beier,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Hubertus Christian Ulmer,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Lorenz von Roemer,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Martin Weber,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Nils Bronder,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Thaddaeus Delebinski,IAV
s39-4,H2 Internal Combustion Engines for Commercial Vehicles<br>-Increasing Power Density by Low Pressure Direct Injection-,Thomas Kemski,IAV
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,加藤　維識,本田技術研究所
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,三枝　大城,本田技研工業
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,山田　直,トヨタ自動車
s4-1,ギヤ撹拌における各種計算法の比較(第2報)<br>-飛沫の予測精度に対する考察と実用的な改善方法の提案-,中島　聖,マツダ
s41-3,450kW走行中充電インフラのバス高速輸送システム（BRT）への適用方法の研究,田島　孝光,本田技術研究所
s4-2,高回転トラクションドライブの研究<br>-大減速比実験とユニット構成-,山本　建,東海大学
s4-2,高回転トラクションドライブの研究<br>-大減速比実験とユニット構成-,賈　悦辰,東海大学
s43-4,構成機器をコンパクトに一体化したランキンサイクル発電機の開発<br>-第8報 金属製化と冷媒による実験-,大塚　賢哉,日本大学
s43-4,構成機器をコンパクトに一体化したランキンサイクル発電機の開発<br>-第8報 金属製化と冷媒による実験-,中川　千種,日本大学
s43-4,構成機器をコンパクトに一体化したランキンサイクル発電機の開発<br>-第8報 金属製化と冷媒による実験-,殿岡　奈々,日本大学
s43-4,構成機器をコンパクトに一体化したランキンサイクル発電機の開発<br>-第8報 金属製化と冷媒による実験-,田中　勝之,日本大学
s43-4,構成機器をコンパクトに一体化したランキンサイクル発電機の開発<br>-第8報 金属製化と冷媒による実験-,脇山　哲広,日本大学
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,加藤　大貴,日本大学
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,小櫃　竜太郎,日本大学
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,上遠野　和佳,日本大学
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,大塚　賢哉,日本大学
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,田中　勝之,日本大学
s43-5,重量車のエンジン排熱を用いた5kW級ランキンサイクル発電機によるエネルギー回収の実験<br>-第1報　実験装置の構築と動作確認試験-,齋藤　真成,日本大学
s44-2,MBDを活用したPBN(Pass-By Noise)モデル構築(第2報)<br>-加速性能向上のためのHEV 1Dシステムモデルと連携したPBNモデル構築-,遠藤　剛,本田技研工業
s44-2,MBDを活用したPBN(Pass-By Noise)モデル構築(第2報)<br>-加速性能向上のためのHEV 1Dシステムモデルと連携したPBNモデル構築-,岩瀬　裕夢,本田技研工業
s44-2,MBDを活用したPBN(Pass-By Noise)モデル構築(第2報)<br>-加速性能向上のためのHEV 1Dシステムモデルと連携したPBNモデル構築-,緒方　健一郎,本田技研工業
s44-2,MBDを活用したPBN(Pass-By Noise)モデル構築(第2報)<br>-加速性能向上のためのHEV 1Dシステムモデルと連携したPBNモデル構築-,中澤　信太,本田技研工業
s44-2,MBDを活用したPBN(Pass-By Noise)モデル構築(第2報)<br>-加速性能向上のためのHEV 1Dシステムモデルと連携したPBNモデル構築-,鎮田　和哉,本田技研工業
s45-1,聴覚的注意モデルによる情報伝達音の聴こえやすさ評価,井野　寿信,マツダ
s45-1,聴覚的注意モデルによる情報伝達音の聴こえやすさ評価,大杉　郁代,マツダ
s45-1,聴覚的注意モデルによる情報伝達音の聴こえやすさ評価,中谷　裕紀,マツダ
s45-1,聴覚的注意モデルによる情報伝達音の聴こえやすさ評価,渡邊　雅之,マツダ
s45-1,聴覚的注意モデルによる情報伝達音の聴こえやすさ評価,萬　菜穂子,マツダ
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,菊池　正和,マツダ
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,山本　彩斗,マツダ
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,松岡　和洋,マツダ
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,森　恒寛,マツダ
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,中西　潤二郎,マツダ
s45-3,エンジン背景音を用いたピストン打音評価技術の開発,野中　康宏,マツダ
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,梓沢　慶介,本田技術研究所
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,久保田　芳永,本田技術研究所
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,轟　拓海,本田技術研究所
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,大矢　聡義,本田技術研究所
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,中富　奏明,本田技術研究所
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,内藤　直也,本田技術研究所
s47-3,充電機能を統合した電気自動車用eAxleの性能向上,二村　圭哉,本田技術研究所
s48-1,A Research for AI driven Advanced Performance Evaluation of Exterior Closure System,BYUNG SUNG PARK,Hyundai Motor
s48-1,A Research for AI driven Advanced Performance Evaluation of Exterior Closure System,MINHYUNG BYUN,Hyundai Motor
s48-1,A Research for AI driven Advanced Performance Evaluation of Exterior Closure System,SOONHO HER,Hyundai Motor
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,安岡　志朗,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,伊藤　祐太,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,山下　裕矢,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,森國　洋平,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,深尾　勇也,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,菅井　友駿,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,西川　幸治,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,谷口　真潮,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,池内　大貴,トヨタ自動車
s48-2,3次元形状生成AIの解釈性に基づく自動車空力開発の検討,土山　稔,トヨタ自動車
s48-6,Establishment of target aero drag and investment criteria considering vehicle characteristics,KWANG CHAN KO,Hyundai Motor
s48-6,Establishment of target aero drag and investment criteria considering vehicle characteristics,WOOKHYUN HAN,Hyundai Motor
s49-1,Development Of Indoor Lighting Optimization Through Customer Preference Clinic,DAESEON LEE,Hyundai Motor
s49-3,Seat Comfort Strategy considering High Performance Vehicle Package Factors,Sunwoo Choi,Hyundai Motor
s49-4,Impact Energy Absorption and Safety Evaluation of Glass Fiber Reinforced Plastic Composite Leaf Springs for Automotive Applications,SOO SIK CHUNG,Hyundai Motor
s49-5,A Study on the Multifunctional Protection Bumper cover of Autonomous Driving Sensor,HONGHEUI LEE,Hyundai Motor
s50-1,側面衝突事故時の車両の回転挙動を考慮したΔV算出方法の検討,安藤　貴裕,トヨタ自動車
s50-1,側面衝突事故時の車両の回転挙動を考慮したΔV算出方法の検討,吉田　朋巳,トヨタ自動車
s50-1,側面衝突事故時の車両の回転挙動を考慮したΔV算出方法の検討,勝間田　静江,トヨタ自動車
s50-1,側面衝突事故時の車両の回転挙動を考慮したΔV算出方法の検討,棚瀬　昇,トヨタ自動車
s50-1,側面衝突事故時の車両の回転挙動を考慮したΔV算出方法の検討,長岡　靖,トヨタ自動車
s50-2,深層学習による車両損壊程度の自動検知に関する研究,久保田　和広,日本大学
s50-2,深層学習による車両損壊程度の自動検知に関する研究,西本　哲也,日本大学
s50-2,深層学習による車両損壊程度の自動検知に関する研究,中尾　賢人,日本大学
s5-1,湿式多板クラッチの高回転における引き摺りトルク上昇の検討（第3報）,為貝　仁志,マツダ
s5-1,湿式多板クラッチの高回転における引き摺りトルク上昇の検討（第3報）,吉末　知弘,マツダ
s5-1,湿式多板クラッチの高回転における引き摺りトルク上昇の検討（第3報）,胡本　博史,マツダ
s51-3,車両デザイン検討のための自然言語駆動型3Dデザイン生成技術の研究,伊藤　修,本田技研工業
s51-3,車両デザイン検討のための自然言語駆動型3Dデザイン生成技術の研究,佐伯　晋,本田技研工業
s51-3,車両デザイン検討のための自然言語駆動型3Dデザイン生成技術の研究,中川　善和,本田技研工業
s51-3,車両デザイン検討のための自然言語駆動型3Dデザイン生成技術の研究,白石　淳,本田技研工業
s51-3,車両デザイン検討のための自然言語駆動型3Dデザイン生成技術の研究,片桐　章彦,本田技研工業
s52-3,電動小型低速車両(LLV)における加速・減速時の乗員挙動と主観評価,青木　宏文,名古屋大学
s52-3,電動小型低速車両(LLV)における加速・減速時の乗員挙動と主観評価,米川　隆,名古屋大学
s52-3,電動小型低速車両(LLV)における加速・減速時の乗員挙動と主観評価,名切　末晴,名古屋大学
s52-4,Development of a Container-Based Yocto Build System for an Infotainment SW Platform,Joonhyung Kim,Hyundai Motor
s53-6,飲酒の運転に対する影響評価,伊藤　隆文,デンソー
s53-6,飲酒の運転に対する影響評価,山岡　将綺,デンソー
s53-6,飲酒の運転に対する影響評価,山高　大乗,デンソー
s53-6,飲酒の運転に対する影響評価,中村　典雅,デンソー
s53-7,潜在リスクに対するドライバの構え行動を促す情報提供,金森　等,名古屋大学
s53-7,潜在リスクに対するドライバの構え行動を促す情報提供,原田　あすか,名古屋大学
s53-7,潜在リスクに対するドライバの構え行動を促す情報提供,田中　貴紘,名古屋大学
s54-1,駐車支援システムの違和感低減に向けた駐車傾向の個人適合及び操舵アシスト,Swarn Singh Rathour,日立製作所
s54-1,駐車支援システムの違和感低減に向けた駐車傾向の個人適合及び操舵アシスト,瀬戸　信治,日立製作所
s54-1,駐車支援システムの違和感低減に向けた駐車傾向の個人適合及び操舵アシスト,前田　健太,日立製作所
s54-1,駐車支援システムの違和感低減に向けた駐車傾向の個人適合及び操舵アシスト,田代　直之,日立製作所
s54-2,自動運転による狭路すれ違いのための対向車進行軌跡予測手法および軌道計画技術の開発,DANIEL GABRIEL,日立製作所
s54-2,自動運転による狭路すれ違いのための対向車進行軌跡予測手法および軌道計画技術の開発,稲葉　龍,日立製作所
s54-2,自動運転による狭路すれ違いのための対向車進行軌跡予測手法および軌道計画技術の開発,今井　正人,日立製作所
s54-2,自動運転による狭路すれ違いのための対向車進行軌跡予測手法および軌道計画技術の開発,土屋　舜太郎,日立製作所
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,山口　勝彦,トヨタ自動車
s55-1,石油連盟－日本自動車工業会間のCO2低減に関する共同研究（AOIプロジェクト）について<br>-（第3報）-,林　倫,トヨタ自動車
s57-4,小型2ストローク対向ピストン型パワーユニットの研究,大川原　育未,日本大学
s57-4,小型2ストローク対向ピストン型パワーユニットの研究,渡邊　操,日本大学
s57-4,小型2ストローク対向ピストン型パワーユニットの研究,飯島　晃良,日本大学
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,近藤　照明,豊田中央研究所
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,植田　玲子,豊田中央研究所
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,政所　良行,豊田中央研究所
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,西川　一明,豊田中央研究所
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,冬頭　孝之,豊田中央研究所
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,福井　健二,豊田中央研究所
s58-4,ディーゼル代替アルコール拡散燃焼技術（第1報）<br>-着火手段の比較および最小火種要件-,脇坂　佳史,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,近藤　照明,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,植田　玲子,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,政所　良行,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,西川　一明,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,冬頭　孝之,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,福井　健二,豊田中央研究所
s58-5,ディーゼル代替アルコール拡散燃焼技術（第2報）<br>-メタノール単一燃料によるパイロット点火・メイン拡散燃焼-,脇坂　佳史,豊田中央研究所
s59-3,ピストンスカート形状が摺動部の油膜体積におよぼす影響,伊東　明美,東京都市大学
s59-3,ピストンスカート形状が摺動部の油膜体積におよぼす影響,石川　泰裕,東京都市大学
s59-3,ピストンスカート形状が摺動部の油膜体積におよぼす影響,又吉　琉翔,東京都市大学
s59-4,水素エンジンにおいて乳化したエンジンオイルの水分蒸発特性に関する研究,伊東　明美,東京都市大学
s59-4,水素エンジンにおいて乳化したエンジンオイルの水分蒸発特性に関する研究,市村　凌裕,東京都市大学
s59-4,水素エンジンにおいて乳化したエンジンオイルの水分蒸発特性に関する研究,本宮　一稀,東京都市大学
s59-4,水素エンジンにおいて乳化したエンジンオイルの水分蒸発特性に関する研究,檜山　大輔,東京都市大学
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,玉野　篤央,トヨタ自動車
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,山守　一雄,トヨタ自動車
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,植松　裕太,トヨタ自動車
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,須藤　淳一,トヨタ自動車
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,石崎　超矢,トヨタ自動車
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,奈良　俊佑,トヨタ自動車
s59-6,省燃費フラット粘度オイル JASO GLV-2油 0W-16の開発,平野　聡伺,トヨタ自動車
s60-6,マルチツールをオンライン連成するCo-Simulation環境の構築（第6報）<br>-機械学習を用いた1Dサーマルプラントモデルのサロゲートモデル構築-,高畑　智規,本田技研工業
s60-6,マルチツールをオンライン連成するCo-Simulation環境の構築（第6報）<br>-機械学習を用いた1Dサーマルプラントモデルのサロゲートモデル構築-,緒方　健一郎,本田技研工業
s60-6,マルチツールをオンライン連成するCo-Simulation環境の構築（第6報）<br>-機械学習を用いた1Dサーマルプラントモデルのサロゲートモデル構築-,小出　景二郎,本田技研工業
s60-6,マルチツールをオンライン連成するCo-Simulation環境の構築（第6報）<br>-機械学習を用いた1Dサーマルプラントモデルのサロゲートモデル構築-,田中　浩平,本田技研工業
s60-6,マルチツールをオンライン連成するCo-Simulation環境の構築（第6報）<br>-機械学習を用いた1Dサーマルプラントモデルのサロゲートモデル構築-,渡部　一晃,本田技研工業
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,稲葉　雅司,デンソー
s61-1,エレメカ連成1Dモデルを用いたTier1，Tier2サプライヤの連携による回路解析手法の精度検証,篠田　卓也,デンソー
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,稲葉　雅司,デンソー
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,橋本　一成,デンソー
s61-2,MBDを利用した放熱材料配置のロバスト設計の精度検証,篠田　卓也,デンソー
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,稲葉　雅司,デンソー
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,橋本　一成,デンソー
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,山本　真義,名古屋大学
s61-3,低温でのアクチュエータ駆動実機評価 - アルミ電解コンデンサ低温特性の影響調査 -,篠田　卓也,デンソー
s61-4,MBDによるTier1 Tier2連携のための抵抗器及び基板モデリング,稲葉　雅司,デンソー
